Table 1: Overall Reports and Dollar Loss,,,,,,,,
total_reports,total_dollar_loss,average_loss,,,,,,
350361,2687420244,7670.432051,,,,,,
,,,,,,,,
Table 2: Cases With Reported Loss,,,,,,,,
total_cases,cases_with_loss,percent_with_loss,,,,,,
350361,86845,24.79,,,,,,
,,,,,,,,
Table 3: Fraud Reports by Category,,,,,,,,
fraud_category,total_reports,total_loss,,,,,,
2024-08-01 0:00:00,4527,42916050.15,,,,,,
2024-09-01 0:00:00,4595,54519983.75,,,,,,
2024-10-01 0:00:00,4866,58676718.01,,,,,,
2024-11-01 0:00:00,4391,69240288.17,,,,,,
2024-12-01 0:00:00,4862,48152531.75,,,,,,
2025-01-01 0:00:00,4599,41576596.13,,,,,,
2025-02-01 0:00:00,3809,56987574.58,,,,,,
2025-03-01 0:00:00,4827,66969877.85,,,,,,
2025-04-01 0:00:00,3969,60978362.75,,,,,,
2025-05-01 0:00:00,3753,54952154.71,,,,,,
2025-06-01 0:00:00,3818,69050118.9,,,,,,
2025-07-01 0:00:00,3542,83624806.55,,,,,,
2025-08-01 0:00:00,3215,66811234.1,,,,,,
2025-09-01 0:00:00,2198,40657401.74,,,,,,
,,,,,,,,
Table 9: Frequency of Fraud by Method,,,,,,,,
method,frequency,,,,,,,
Other/unknown,101691,,,,,,,
Direct call,81723,,,,,,,
Internet-social network,39565,,,,,,,
Email,39304,,,,,,,
Internet,33356,,,,,,,
Text message,28227,,,,,,,
Not Available,18249,,,,,,,
Door to door/in person,4330,,,,,,,
Mail,3444,,,,,,,
Fax,173,,,,,,,
Video Call,142,,,,,,,
Television,84,,,,,,,
Print,65,,,,,,,
Radio,8,,,,,,,
